LeadTime,StaysInWeekendNights,StaysInWeekNights,Adults,Children,ADR,Country,Company,ReservedRoomType,IsRepeatedGuest,IsCanceled,Mes_Estancia,Mes_Reserva,Contract,Group,Transient,Transient-Party,BB,FB,HB,SC,Undefined
43,0,1,2,0,60.0,0.0,0,0.0,0,1,3,2,0,0,1,0,1,0,0,0,0
53,2,5,3,1,93.57,5.0,0,7.0,0,1,10,9,0,0,1,0,1,0,0,0,0
75,2,1,2,1,190.67,2.0,0,7.0,0,1,9,6,0,0,1,0,1,0,0,0,0
18,0,3,2,0,81.0,0.0,0,4.0,0,1,10,10,0,0,0,1,0,0,1,0,0
211,2,1,2,0,30.0,0.0,0,0.0,0,1,11,7,0,0,1,0,1,0,0,0,0
84,2,4,2,0,63.5,0.0,0,5.0,0,1,4,3,0,0,1,0,1,0,0,0,0
3,2,2,3,1,265.0,0.0,0,7.0,0,1,7,7,0,0,1,0,1,0,0,0,0
29,1,5,2,0,230.0,5.0,0,0.0,0,1,8,8,0,0,1,0,1,0,0,0,0
10,0,1,2,0,126.0,0.0,0,0.0,0,1,7,7,0,0,0,1,1,0,0,0,0
42,2,6,1,0,158.38,0.0,0,3.0,0,1,8,7,0,0,1,0,1,0,0,0,0
121,2,2,2,2,249.5,4.0,0,6.0,0,1,8,5,0,0,1,0,1,0,0,0,0
25,2,0,2,0,102.0,4.0,0,3.0,0,1,4,4,0,0,1,0,1,0,0,0,0
218,2,5,2,2,87.0,4.0,0,6.0,0,1,3,8,0,0,1,0,1,0,0,0,0
66,1,1,2,0,64.0,0.0,0,0.0,0,1,12,12,0,0,0,1,0,1,0,0,0
36,0,2,2,0,64.0,0.0,0,0.0,0,1,11,11,0,0,0,1,0,1,0,0,0
28,1,2,2,0,48.0,0.0,0,0.0,0,1,2,1,0,0,1,0,1,0,0,0,0
147,0,4,2,2,161.0,0.0,0,6.0,0,1,6,1,0,0,1,0,1,0,0,0,0
269,4,6,2,0,80.1,7.0,0,0.0,0,1,6,9,0,0,1,0,1,0,0,0,0
275,2,0,2,0,50.0,0.0,0,0.0,0,1,10,1,0,0,1,0,0,0,1,0,0
123,1,1,2,0,64.0,7.0,0,0.0,0,1,2,2,0,0,0,1,0,0,0,0,1
43,0,2,2,0,105.0,0.0,0,0.0,0,1,4,3,0,0,1,0,1,0,0,0,0
54,2,3,2,0,134.0,0.0,0,0.0,0,1,7,6,0,0,1,0,1,0,0,0,0
282,2,6,2,2,150.25,5.0,0,6.0,0,1,6,9,0,0,1,0,1,0,0,0,0
143,2,5,2,0,36.05,0.0,0,0.0,0,1,10,7,0,0,1,0,1,0,0,0,0
92,1,2,2,0,79.0,0.0,0,0.0,0,1,2,12,0,0,1,0,0,0,0,0,1
69,2,4,3,1,116.0,5.0,0,7.0,0,1,10,8,0,0,1,0,1,0,0,0,0
259,0,3,2,0,40.05,4.0,223,0.0,0,1,9,1,0,0,1,0,1,0,0,0,0
113,2,6,2,0,40.95,0.0,0,0.0,0,1,12,9,0,0,1,0,1,0,0,0,0
116,2,8,2,1,392.0,0.0,0,5.0,0,1,8,4,0,0,1,0,0,0,1,0,0
78,3,5,3,1,252.0,7.0,0,7.0,0,1,9,6,0,0,1,0,0,0,1,0,0
140,0,2,2,0,50.0,0.0,0,0.0,0,1,2,12,0,0,1,0,0,0,1,0,0
59,2,1,2,2,250.0,15.0,0,6.0,0,1,7,5,0,0,1,0,1,0,0,0,0
112,0,2,2,0,68.0,0.0,0,0.0,0,1,2,2,0,0,0,1,0,1,0,0,0
102,1,2,2,0,50.0,0.0,0,0.0,0,1,2,2,0,0,0,1,0,0,1,0,0
56,1,2,2,0,75.0,4.0,0,0.0,0,1,4,3,0,0,1,0,1,0,0,0,0
49,0,3,2,0,145.87,0.0,0,3.0,0,1,12,11,0,0,1,0,1,0,0,0,0
213,2,2,2,0,104.85,0.0,0,0.0,0,1,7,5,0,0,1,0,1,0,0,0,0
131,2,0,2,0,55.0,0.0,0,0.0,0,1,10,9,0,0,0,1,1,0,0,0,0
36,0,2,2,0,64.0,0.0,0,0.0,0,1,11,11,0,0,0,1,0,1,0,0,0
328,2,5,20,0,0.0,0.0,0,3.0,0,1,10,9,0,1,0,0,1,0,0,0,0
88,0,2,2,0,230.0,0.0,0,0.0,0,1,8,7,0,0,1,0,1,0,0,0,0
16,1,1,2,0,214.0,7.0,0,0.0,0,1,8,7,0,0,1,0,1,0,0,0,0
214,2,5,1,0,46.0,0.0,0,0.0,0,1,3,12,0,0,0,1,0,0,1,0,0
98,2,1,1,0,76.0,13.0,0,0.0,0,1,5,2,0,0,1,0,1,0,0,0,0
0,0,1,1,0,42.0,0.0,0,0.0,0,1,5,5,0,0,1,0,1,0,0,0,0
72,2,1,2,0,73.33,0.0,0,3.0,0,1,2,1,0,0,0,1,0,0,1,0,0
97,2,5,2,0,120.71,0.0,0,4.0,0,1,9,6,0,0,1,0,1,0,0,0,0
403,6,15,2,0,52.2,0.0,0,0.0,0,1,10,8,0,0,1,0,1,0,0,0,0
28,1,0,2,0,102.6,0.0,0,3.0,0,1,6,5,0,0,1,0,1,0,0,0,0
142,1,4,2,1,309.1,0.0,0,4.0,0,1,7,6,0,0,1,0,0,0,0,0,1
36,2,6,1,0,36.0,0.0,281,0.0,0,1,11,11,0,0,0,1,1,0,0,0,0
23,2,2,2,0,211.0,0.0,0,3.0,0,1,8,8,0,0,1,0,1,0,0,0,0
98,6,15,2,0,37.8,0.0,0,3.0,0,1,2,1,0,0,1,0,1,0,0,0,0
270,1,3,2,0,59.4,0.0,0,0.0,0,1,11,4,0,0,0,1,0,0,1,0,0
9,1,0,2,0,8.0,0.0,0,0.0,0,1,5,5,0,0,0,1,1,0,0,0,0
175,2,5,2,0,198.0,4.0,0,4.0,0,1,7,1,0,0,1,0,1,0,0,0,0
178,2,2,2,0,70.75,9.0,0,4.0,0,1,10,6,0,0,1,0,1,0,0,0,0
411,2,4,2,0,71.1,0.0,0,0.0,0,1,5,4,0,0,1,0,1,0,0,0,0
162,6,15,2,0,82.0,0.0,0,0.0,0,1,3,11,0,0,1,0,0,0,1,0,0
40,0,4,1,0,40.0,0.0,0,0.0,0,1,11,10,0,0,0,1,1,0,0,0,0
128,0,1,2,0,64.0,0.0,0,0.0,0,1,12,11,0,0,0,1,0,0,1,0,0
119,1,0,2,0,40.5,0.0,0,0.0,0,1,10,7,0,0,1,0,1,0,0,0,0
2,0,4,1,0,36.0,0.0,0,0.0,0,1,2,2,0,0,0,1,1,0,0,0,0
41,2,3,2,0,164.4,0.0,0,0.0,0,1,8,8,0,0,1,0,1,0,0,0,0
47,2,2,2,0,158.78,7.0,0,3.0,0,1,9,8,0,0,1,0,1,0,0,0,0
282,4,10,2,0,81.0,0.0,0,0.0,0,1,9,2,0,0,1,0,1,0,0,0,0
18,1,1,2,0,68.0,7.0,0,4.0,0,1,1,1,0,0,1,0,1,0,0,0,0
358,4,10,2,0,190.96,0.0,0,0.0,0,1,8,4,0,0,1,0,0,0,1,0,0
124,2,3,2,0,58.0,0.0,0,0.0,0,1,5,4,0,0,1,0,1,0,0,0,0
7,0,1,1,0,58.0,0.0,20,0.0,0,1,5,5,0,0,1,0,0,0,1,0,0
345,4,10,2,0,8.0,0.0,0,4.0,0,1,6,9,0,0,1,0,1,0,0,0,0
119,1,4,2,0,100.8,0.0,0,3.0,0,1,7,6,0,0,1,0,1,0,0,0,0
106,1,3,2,0,84.0,0.0,0,0.0,0,1,3,1,0,0,1,0,0,1,0,0,0
222,1,4,2,0,206.0,4.0,0,3.0,0,1,8,4,0,0,1,0,0,0,1,0,0
40,0,2,1,0,55.0,0.0,0,0.0,0,1,5,4,0,0,1,0,1,0,0,0,0
159,2,5,2,0,192.0,7.0,0,0.0,0,1,7,2,0,0,1,0,0,0,1,0,0
82,2,0,2,0,86.0,0.0,0,0.0,1,1,2,11,0,0,0,1,1,0,0,0,0
233,2,6,2,0,62.34,13.0,0,0.0,0,1,4,12,0,0,1,0,1,0,0,0,0
78,1,4,2,2,165.0,13.0,0,6.0,0,1,5,4,0,0,1,0,1,0,0,0,0
122,1,4,2,1,295.5,0.0,0,0.0,0,1,8,4,0,0,1,0,0,0,1,0,0
168,0,2,2,0,86.0,0.0,0,0.0,0,1,4,1,0,0,1,0,0,0,1,0,0
129,0,2,1,0,175.5,0.0,0,3.0,0,1,7,3,0,0,1,0,1,0,0,0,0
17,1,4,2,2,180.0,13.0,0,2.0,0,1,6,6,0,0,1,0,1,0,0,0,0
155,1,1,2,0,36.0,0.0,0,0.0,0,1,10,10,0,0,1,0,1,0,0,0,0
100,2,6,3,0,224.0,0.0,0,0.0,0,1,8,5,0,0,1,0,1,0,0,0,0
211,2,5,3,0,174.24,0.0,0,0.0,0,1,8,1,0,0,1,0,0,0,1,0,0
76,0,2,2,0,50.0,0.0,0,4.0,0,1,11,11,0,0,0,1,1,0,0,0,0
23,2,2,2,0,81.0,0.0,0,4.0,0,1,10,10,0,0,0,1,0,0,1,0,0
91,2,4,2,1,75.6,7.0,0,0.0,0,1,12,10,0,0,0,1,0,0,1,0,0
111,0,2,2,0,70.0,0.0,0,0.0,0,1,2,1,0,0,1,0,0,1,0,0,0
107,2,4,2,0,237.0,0.0,0,4.0,0,1,7,4,0,0,1,0,0,0,1,0,0
155,0,1,2,0,36.0,0.0,0,0.0,0,1,10,10,0,0,1,0,1,0,0,0,0
185,1,1,2,0,86.0,0.0,0,0.0,0,1,4,3,0,0,0,1,0,0,1,0,0
245,0,1,2,0,80.0,0.0,0,0.0,0,1,9,7,0,0,1,0,0,0,1,0,0
175,1,4,2,0,230.0,7.0,0,4.0,0,1,8,8,0,0,1,0,1,0,0,0,0
215,2,2,2,0,82.8,7.0,0,0.0,0,1,4,9,0,0,1,0,0,0,1,0,0
383,1,3,2,0,48.0,0.0,0,0.0,0,1,10,3,0,0,0,1,1,0,0,0,0
35,0,1,1,0,56.0,0.0,0,0.0,0,1,4,3,0,0,1,0,1,0,0,0,0
0,0,1,1,0,40.0,0.0,0,0.0,0,1,3,3,0,0,1,0,1,0,0,0,0
471,2,5,2,0,47.0,0.0,0,0.0,0,1,5,5,0,0,1,0,1,0,0,0,0
244,0,3,2,0,36.0,0.0,0,0.0,0,1,9,4,0,0,1,0,1,0,0,0,0
0,0,1,1,0,50.0,16.0,457,0.0,0,1,10,10,0,0,1,0,1,0,0,0,0
54,2,5,2,0,189.0,11.0,0,0.0,0,1,8,6,0,0,1,0,1,0,0,0,0
247,1,4,2,0,55.8,11.0,0,4.0,0,1,12,7,0,0,1,0,1,0,0,0,0
170,4,8,2,0,44.5,17.0,0,0.0,0,1,10,7,0,0,1,0,1,0,0,0,0
18,2,0,2,0,58.0,4.0,0,3.0,0,1,2,1,0,0,1,0,1,0,0,0,0
131,2,5,2,0,63.03,4.0,0,4.0,0,1,10,6,0,0,1,0,1,0,0,0,0
54,2,5,2,0,226.14,7.0,0,4.0,0,1,8,6,0,0,1,0,1,0,0,0,0
73,8,21,1,0,37.83,17.0,0,0.0,0,1,1,11,0,0,1,0,1,0,0,0,0
158,2,6,2,0,139.0,0.0,0,0.0,0,1,9,8,0,0,1,0,1,0,0,0,0
191,2,5,2,0,66.6,0.0,0,3.0,0,1,9,9,0,0,1,0,1,0,0,0,0
131,2,5,2,0,80.0,0.0,0,0.0,0,1,4,2,0,0,0,1,0,0,1,0,0
371,2,8,2,0,104.85,0.0,0,0.0,0,1,8,4,1,0,0,0,1,0,0,0,0
41,0,1,2,0,121.0,18.0,0,0.0,0,1,5,4,0,0,1,0,0,0,1,0,0
263,2,5,2,0,82.0,4.0,0,0.0,0,1,6,10,0,0,1,0,1,0,0,0,0
32,2,5,2,0,93.57,19.0,0,4.0,0,1,4,4,0,0,1,0,1,0,0,0,0
339,3,6,2,0,80.0,0.0,0,0.0,0,1,9,1,0,0,1,0,0,0,1,0,0
169,3,6,2,0,125.9,0.0,0,0.0,0,1,8,4,0,0,1,0,1,0,0,0,0
22,2,2,2,0,159.0,4.0,0,0.0,0,1,7,6,0,0,1,0,1,0,0,0,0
135,1,2,2,2,198.33,15.0,0,2.0,0,1,7,7,0,0,1,0,1,0,0,0,0
325,2,5,2,0,157.5,0.0,0,4.0,0,1,8,10,0,0,1,0,1,0,0,0,0
85,2,5,2,0,48.0,0.0,0,0.0,0,1,4,2,0,0,1,0,1,0,0,0,0
30,1,2,2,0,0.0,0.0,0,0.0,0,1,6,5,0,0,1,0,1,0,0,0,0
323,2,5,2,0,72.0,0.0,0,0.0,0,1,6,7,0,0,1,0,1,0,0,0,0
40,0,2,1,0,55.0,0.0,0,0.0,0,1,5,4,0,0,1,0,1,0,0,0,0
73,2,4,3,1,183.5,7.0,0,7.0,0,1,6,5,0,0,1,0,1,0,0,0,0
411,2,4,2,0,71.1,0.0,0,0.0,0,1,5,4,0,0,1,0,1,0,0,0,0
260,2,5,2,0,54.99,0.0,0,0.0,0,1,9,7,0,0,1,0,1,0,0,0,0
160,2,3,2,0,70.8,16.0,0,4.0,0,1,4,3,0,0,1,0,1,0,0,0,0
168,1,3,2,0,80.0,0.0,0,0.0,0,1,4,1,0,0,1,0,1,0,0,0,0
12,0,1,2,0,109.0,0.0,0,0.0,0,1,6,5,0,0,1,0,1,0,0,0,0
181,6,19,2,0,58.6,0.0,0,0.0,0,1,3,12,0,0,0,1,0,0,1,0,0
39,0,5,2,0,116.5,0.0,0,0.0,0,1,7,6,1,0,0,0,1,0,0,0,0
13,0,3,2,0,92.0,0.0,0,3.0,0,1,3,3,0,0,1,0,1,0,0,0,0
163,0,1,2,0,226.0,17.0,0,3.0,0,1,7,3,0,0,1,0,0,0,1,0,0
16,0,1,1,0,139.0,0.0,331,4.0,1,1,9,9,0,0,1,0,1,0,0,0,0
18,2,5,2,0,56.57,0.0,0,0.0,0,1,2,1,0,0,1,0,1,0,0,0,0
55,2,8,2,0,113.0,0.0,0,4.0,0,1,7,5,0,0,1,0,1,0,0,0,0
80,2,3,2,0,133.0,0.0,0,0.0,0,1,8,8,0,0,1,0,0,0,1,0,0
277,2,5,2,0,92.57,0.0,0,0.0,0,1,7,10,0,0,1,0,1,0,0,0,0
4,0,1,2,0,40.0,0.0,0,0.0,0,1,2,2,0,0,1,0,1,0,0,0,0
32,2,5,2,0,93.57,19.0,0,4.0,0,1,4,4,0,0,1,0,1,0,0,0,0
108,2,2,2,0,84.0,0.0,0,0.0,0,1,4,2,0,0,1,0,0,0,1,0,0
155,0,1,2,0,36.0,0.0,0,0.0,0,1,10,10,0,0,0,1,1,0,0,0,0
246,2,4,2,0,153.75,11.0,0,0.0,0,1,8,7,0,0,1,0,1,0,0,0,0
299,2,10,2,0,201.6,13.0,0,4.0,0,1,7,9,0,0,1,0,0,0,1,0,0
168,2,1,2,0,77.4,4.0,0,0.0,0,1,12,10,0,0,1,0,0,0,1,0,0
340,0,2,2,0,30.0,0.0,0,0.0,0,1,3,3,0,0,1,0,1,0,0,0,0
30,3,5,2,0,111.44,0.0,0,3.0,0,1,5,5,0,0,1,0,1,0,0,0,0
183,2,1,2,0,72.0,0.0,0,0.0,0,1,12,10,0,0,1,0,0,1,0,0,0
152,2,5,2,0,62.9,0.0,0,3.0,0,1,6,1,0,0,1,0,1,0,0,0,0
96,4,7,2,0,8.0,0.0,0,0.0,0,1,3,12,0,0,0,1,1,0,0,0,0
244,0,3,2,0,36.0,0.0,0,0.0,0,1,9,4,0,0,1,0,1,0,0,0,0
23,2,5,2,2,195.0,0.0,0,6.0,0,1,7,6,0,0,1,0,1,0,0,0,0
70,2,2,1,0,92.75,11.0,0,0.0,0,1,9,7,0,0,1,0,1,0,0,0,0
411,2,4,2,0,71.1,0.0,0,0.0,0,1,5,4,0,0,1,0,1,0,0,0,0
127,0,1,2,0,77.4,0.0,0,3.0,0,1,2,12,0,0,1,0,0,0,1,0,0
183,2,1,2,0,72.0,0.0,0,0.0,0,1,12,10,0,0,1,0,0,1,0,0,0
71,2,5,2,0,116.43,4.0,0,3.0,0,1,5,3,0,0,1,0,1,0,0,0,0
145,2,3,2,1,188.5,0.0,0,4.0,0,1,7,6,0,0,1,0,0,0,1,0,0
146,2,5,2,0,235.71,12.0,0,4.0,0,1,8,6,0,0,0,1,1,0,0,0,0
